id,observed_on,time_observed_at,user_id,user_name,quality_grade,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy,place_town_name,place_county_name,species_guess,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
137011,2008-01-11,,7943,Vijay Barve,needs_id,1,0,13.1235430719,77.5477220321,,,Bangalore,Ropalidia,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,
1618983,2014-09-21,,7943,Vijay Barve,research,1,0,13.1266,77.546671,8.0,,Bangalore,Polistes stigma,Polistes stigma,Tropical Paper Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Polistini,,Polistes,,Polistes stigma,,,,
3375700,2015-03-23,2015-03-23 08:55:57 UTC,7943,Vijay Barve,research,2,0,13.065518,77.597035,4.0,,Bangalore,Ropalidia cyathiformis,Ropalidia cyathiformis,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia cyathiformis,,,,
21056113,2015-08-23,2015-08-23 06:50:00 UTC,342643,Firos AK,needs_id,0,0,12.8948581565,77.5915231667,412.0,,Bangalore,"Ants, Bees, and Stinging Wasps",Vespidae,"Hornets, Paper Wasps, Potter Wasps, and Allies",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,,,,,,,,,,,
21056124,2015-08-23,2015-08-23 08:28:00 UTC,342643,Firos AK,research,3,0,12.8948581565,77.5915231667,412.0,,Bangalore,Greater Banded Hornet,Vespa tropica,Greater Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa tropica,,,,
33473956,2007-07-24,,2025878,Ashwin Viswanathan,research,1,0,12.9756524913,77.6833420128,41.0,,Bangalore,Ropalidia variegata,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,
46824769,2014-01-04,,13193,Rohit,research,3,1,13.041394469,77.562821177,2558.0,,Bangalore,Greater Banded Hornet,Vespa tropica,Greater Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa tropica,,,,
46824781,2014-01-04,,13193,Rohit,needs_id,1,0,13.041394469,77.562821177,2558.0,,Bangalore,Small Brown Paper Wasps,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,
87827109,2015-05-23,2015-05-22 22:53:00 UTC,4459882,Praveen T,research,3,0,12.9126925,77.6732975,448.0,,Bangalore,Ropalidia marginata,Ropalidia marginata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia marginata,,,,
120551389,2015-07-06,2015-07-06 08:04:00 UTC,5772830,,research,2,0,13.1007685,77.580792,641.0,,Bangalore,Phimenes flavopictus flavopictus,Phimenes flavopictus flavopictus,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Phimenes,,Phimenes flavopictus,,Phimenes flavopictus flavopictus,,
